Neighborhood,White,Black,American Indian and Alaska Native,Asian,Other,Two or More Races,Hispanic or Latino
Rogers Park,39.3119,26.2970,0.2582,6.4065,0.4383,2.8605,24.4276
West Ridge,42.6816,11.1409,0.2627,22.4959,0.3169,2.6674,20.4345
Uptown,51.6270,20.0046,0.3389,11.3800,0.2484,2.1912,14.2099
Lincoln Square,63.0897,3.7678,0.1823,11.1387,0.3520,2.3219,19.1477
North Center,77.3025,2.3159,0.1726,4.5470,0.2102,1.8640,13.5877
Lake View,80.3715,3.8689,0.1166,5.9904,0.1950,1.8301,7.6276
Lincoln Park,82.8779,4.2938,0.0842,5.1407,0.2074,1.8264,5.5696
Near North Side,72.1050,10.8494,0.0982,10.1138,0.2336,1.6624,4.9376
Edison Park,88.3615,0.2592,0.0268,2.4046,0.0805,1.0727,7.7948
Norwood Park,81.4548,0.4430,0.1459,4.5809,0.1053,1.2722,11.9979
Jefferson Park,68.6694,1.0413,0.2790,8.8651,0.1690,1.6151,19.3610
Forest Glen,74.6434,0.7402,0.1189,10.7467,0.0864,2.1774,11.4869
North Park,49.3391,3.1956,0.2342,25.6539,0.4796,3.1175,17.9800
Albany Park,29.2072,4.0278,0.2309,14.4154,0.3512,2.3185,49.4490
Portage Park,53.5353,1.3349,0.1669,4.6348,0.2121,1.3458,38.7702
Irving Park,41.6687,3.2534,0.2324,7.0016,0.2568,1.9865,45.6006
Dunning,70.3806,0.7345,0.0954,3.7847,0.1288,1.0350,23.8410
Montclare,37.5466,4.4540,0.1564,2.8080,0.2160,0.8342,53.9848
Belmont Cragin,15.1874,3.1660,0.0940,1.9519,0.2019,0.5334,78.8654
Hermosa,7.6489,3.0268,0.0640,1.1755,0.1519,0.5278,87.4050
Avondale,28.4397,2.5241,0.1757,3.0411,0.2369,1.1563,64.4262
Logan Square,39.1724,5.3578,0.1525,2.5113,0.2706,1.2996,51.2357
Humboldt Park,4.4422,40.8892,0.0994,0.3942,0.1562,0.6729,53.3459
West Town,57.2146,7.7873,0.1471,3.7769,0.2286,1.7815,29.0639
Austin,4.4298,85.1016,0.1634,0.5816,0.0751,0.7948,8.8536
West Garfield Park,0.7388,96.1891,0.1222,0.0444,0.0611,0.9111,1.9332
East Garfield Park,3.3938,90.9029,0.1167,0.4036,0.0972,0.9530,4.1328
Near West Side,41.9854,31.5282,0.1531,14.6171,0.3098,2.2084,9.1981
North Lawndale,1.3700,91.4318,0.2172,0.2061,0.0668,0.7379,5.9701
South Lawndale,3.8543,13.0839,0.0795,0.1425,0.1249,0.1589,82.5560
Lower West Side,12.4326,3.0977,0.1398,1.0372,0.1258,0.7325,82.4345
The Loop,62.6951,11.4776,0.1571,15.9068,0.3313,2.5680,6.8641
Near South Side,48.0645,28.1206,0.0842,15.4605,0.2945,2.3562,5.6194
Armour Square,12.2620,10.5967,0.0299,72.5935,0.0224,1.0305,3.4650
Douglas,9.9243,72.6341,0.2248,12.6823,0.1316,1.8533,2.5496
Oakland,2.0615,94.0689,0.2873,0.5914,0.1690,1.3518,1.4701
Fuller Park,1.6342,92.1766,0.0000,0.2434,0.0000,1.3561,4.5897
Grand Boulevard,1.7830,94.1447,0.1505,0.2599,0.0958,1.7648,1.8013
Kenwood,16.4901,71.8626,0.0953,5.4537,0.3587,2.7016,3.0379
Washington Park,0.7425,97.0385,0.1109,0.1024,0.0171,1.1010,0.8876
Hyde Park,46.6960,30.4311,0.1441,12.4022,0.3699,3.6252,6.3315
Woodlawn,6.8366,86.7944,0.1348,2.2915,0.1095,1.7102,2.1230
South Shore,1.3920,94.8625,0.2500,0.2384,0.1615,1.3786,1.7170
Chatham,0.3610,97.2025,0.2224,0.0870,0.0838,1.0410,1.0023
Avalon Park,0.7953,95.7388,0.1767,0.1865,0.1571,1.4433,1.5022
South Chicago,1.9200,74.6715,0.1667,0.2148,0.2340,1.0802,21.7129
Burnside,0.6516,97.7023,0.0686,0.0000,0.0000,0.8916,0.6859
Calumet Heights,0.9123,93.3753,0.1231,0.1882,0.1593,1.1222,4.1196
Roseland,0.4213,97.3733,0.1434,0.0605,0.0896,0.8853,1.0265
Pullman,7.1263,83.5768,0.1092,0.0683,0.1092,1.2150,7.7952
South Deering,4.7985,61.9101,0.2052,0.1191,0.1059,1.0325,31.8287
East Side,17.2251,3.3721,0.1693,0.2300,0.0781,0.4774,78.4481
West Pullman,0.5598,93.0593,0.1518,0.0472,0.0506,1.0421,5.0892
Riverdale,0.4937,96.4363,0.1080,0.0309,0.0617,0.8331,2.0364
Hegewisch,44.9289,3.8617,0.2334,0.5092,0.0106,0.9018,49.5544
Garfield Ridge,53.2321,5.9108,0.0840,1.0025,0.0956,0.5157,39.1592
Archer Heights,21.4590,0.9707,0.1120,1.0304,0.0821,0.3211,76.0248
Brighton Park,8.1159,1.1947,0.0882,4.9639,0.0970,0.2535,85.2870
McKinley Park,17.0830,1.4988,0.1473,15.6610,0.0705,0.7750,64.7643
Bridgeport,35.1034,2.1015,0.1282,34.5186,0.1157,1.0539,26.9788
New City,10.5843,29.6280,0.1307,1.6382,0.1239,0.5881,57.3067
West Elsdon,17.9469,1.4081,0.0828,1.2259,0.0718,0.2209,79.0436
Gage Park,4.7426,5.4169,0.0577,0.3033,0.0852,0.1855,89.2089
Clearing,51.5191,1.2187,0.1167,0.9162,0.1642,0.7563,45.3088
West Lawn,14.7624,4.1673,0.0839,0.6296,0.0630,0.3388,79.9550
Chicago Lawn,4.3485,49.2612,0.1294,0.3416,0.1510,0.5735,45.1949
West Englewood,0.3661,96.2625,0.1887,0.0535,0.0789,0.8703,2.1800
Englewood,0.3425,97.3674,0.1729,0.1109,0.0783,0.8677,1.0602
Greater Grand Crossing,0.5521,96.8959,0.2362,0.0644,0.0982,0.9631,1.1901
Ashburn,15.2163,46.1917,0.1095,0.6718,0.0657,0.9104,36.8345
Auburn Gresham,0.2749,97.7802,0.1662,0.0677,0.0533,0.7160,0.9417
Beverly,58.8250,34.1320,0.1148,0.5590,0.1997,1.6023,4.5672
Washington Heights,0.4567,97.3578,0.1359,0.0453,0.0830,0.9474,0.9738
Mount Greenwood,85.9634,5.1694,0.1781,0.6599,0.0471,0.7437,7.2383
Morgan Park,28.7127,66.7095,0.0488,0.4081,0.1419,1.2331,2.7457
O'Hare,77.1794,3.1593,0.1176,8.2941,0.2038,1.5444,9.5014
Edgewater,54.6505,14.3380,0.1734,11.6452,0.2707,2.4363,16.4859
